K_cap,group_size,max_offspring,threshold,type,beta,rep,extinct,time_to_extinction
250,10,3,0.25,FALSE,1,1,1,325
500,10,3,0.25,FALSE,1,1,1,338
1000,10,3,0.25,FALSE,1,1,1,395
250,1,6,0.25,FALSE,1,1,1,351
500,1,6,0.25,FALSE,1,1,1,346
1000,1,6,0.25,FALSE,1,1,1,442
250,3,6,0.25,FALSE,1,1,1,301
500,3,6,0.25,FALSE,1,1,1,355
1000,3,6,0.25,FALSE,1,1,1,413
250,5,6,0.25,FALSE,1,1,1,396
500,5,6,0.25,FALSE,1,1,1,387
1000,5,6,0.25,FALSE,1,1,1,416
250,10,6,0.25,FALSE,1,1,1,444
500,10,6,0.25,FALSE,1,1,1,382
1000,10,6,0.25,FALSE,1,1,1,462
250,1,10,0.25,FALSE,1,1,1,375
500,1,10,0.25,FALSE,1,1,1,434
1000,1,10,0.25,FALSE,1,1,1,432
250,3,10,0.25,FALSE,1,1,1,401
500,3,10,0.25,FALSE,1,1,1,404
1000,3,10,0.25,FALSE,1,1,0,NA
250,5,10,0.25,FALSE,1,1,1,420
500,5,10,0.25,FALSE,1,1,1,459
1000,5,10,0.25,FALSE,1,1,1,474
250,10,10,0.25,FALSE,1,1,1,399
500,10,10,0.25,FALSE,1,1,1,489
1000,10,10,0.25,FALSE,1,1,1,494
250,1,3,0.5,FALSE,1,1,1,290
500,1,3,0.5,FALSE,1,1,1,306
1000,1,3,0.5,FALSE,1,1,1,341
250,3,3,0.5,FALSE,1,1,1,315
500,3,3,0.5,FALSE,1,1,1,346
1000,3,3,0.5,FALSE,1,1,1,386
250,5,3,0.5,FALSE,1,1,1,335
500,5,3,0.5,FALSE,1,1,1,334
1000,5,3,0.5,FALSE,1,1,1,343
250,10,3,0.5,FALSE,1,1,1,304
500,10,3,0.5,FALSE,1,1,1,357
1000,10,3,0.5,FALSE,1,1,1,361
250,1,6,0.5,FALSE,1,1,1,384
500,1,6,0.5,FALSE,1,1,1,390
1000,1,6,0.5,FALSE,1,1,1,394
250,3,6,0.5,FALSE,1,1,1,342
500,3,6,0.5,FALSE,1,1,1,379
1000,3,6,0.5,FALSE,1,1,1,418
250,5,6,0.5,FALSE,1,1,1,332
500,5,6,0.5,FALSE,1,1,1,340
1000,5,6,0.5,FALSE,1,1,1,324
250,10,6,0.5,FALSE,1,1,1,326
500,10,6,0.5,FALSE,1,1,1,404
1000,10,6,0.5,FALSE,1,1,1,378
250,1,10,0.5,FALSE,1,1,1,434
500,1,10,0.5,FALSE,1,1,1,385
1000,1,10,0.5,FALSE,1,1,1,417
250,3,10,0.5,FALSE,1,1,1,405
500,3,10,0.5,FALSE,1,1,1,447
1000,3,10,0.5,FALSE,1,1,1,435
250,5,10,0.5,FALSE,1,1,1,385
500,5,10,0.5,FALSE,1,1,1,403
1000,5,10,0.5,FALSE,1,1,1,415
250,10,10,0.5,FALSE,1,1,1,350
500,10,10,0.5,FALSE,1,1,1,437
1000,10,10,0.5,FALSE,1,1,1,467
250,1,3,1,FALSE,1,1,1,286
500,1,3,1,FALSE,1,1,1,327
1000,1,3,1,FALSE,1,1,1,332
250,3,3,1,FALSE,1,1,1,310
500,3,3,1,FALSE,1,1,1,348
1000,3,3,1,FALSE,1,1,1,342
250,5,3,1,FALSE,1,1,1,337
500,5,3,1,FALSE,1,1,1,345
1000,5,3,1,FALSE,1,1,1,368
250,10,3,1,FALSE,1,1,1,326
500,10,3,1,FALSE,1,1,1,326
1000,10,3,1,FALSE,1,1,1,340
250,1,6,1,FALSE,1,1,1,374
500,1,6,1,FALSE,1,1,1,438
1000,1,6,1,FALSE,1,1,1,359
250,3,6,1,FALSE,1,1,1,375
500,3,6,1,FALSE,1,1,1,400
